time,event
677.846145839,lick
678.012665419,lick
682.446654257,lick
684.379929389,lick
684.579968886,lick
684.746688466,lick
685.113447543,lick
689.780915792,lick
692.647788574,lick
696.548778753,lick
699.515491284,lick
702.94924264,lick
707.451151306,lick
707.616990888,lick
709.550186021,lick
712.217339306,lick
729.088576832,lick
729.65321541,lick
738.921232077,lick
739.222591318,lick
739.354950985,lick
739.48823065,lick
739.821229811,lick
739.988029391,lick
740.155148971,lick
741.121426538,lick
741.454865699,lick
746.122173948,lick
753.190396153,lick
753.423515566,lick
756.523667762,lick
756.69126734,lick
762.72449215,lick
766.158363505,lick
766.592082413,lick
772.759266887,lick
772.926386466,lick
779.960408758,lick
780.394167666,lick
780.527127331,lick
780.660446995,lick
780.794166659,lick
780.927206324,lick
781.060565988,lick
781.360565233,lick
781.627204561,lick
781.793884142,lick
781.961003721,lick
782.394082631,lick
783.027881035,lick
783.460879945,lick
784.027718518,lick
788.494907271,lick
790.295422738,lick
792.929536107,lick
793.262655268,lick
795.79592889,lick
797.096525616,lick
797.296245113,lick
801.430234706,lick
801.630154202,lick
803.097190509,lick
803.297110006,lick
807.564339262,lick
807.764618758,lick
810.398052128,lick
811.832048518,lick
813.09840533,lick
813.298884825,lick
813.465164407,lick
813.731883735,lick
814.098522812,lick
815.899318278,lick
816.198957524,lick
819.899868207,lick
820.199787452,lick
823.700338639,lick
828.067287645,lick
828.200647309,lick
828.367286889,lick
828.534166469,lick
828.667766133,lick
828.801045797,lick
828.934045462,lick
829.100765043,lick
829.234484706,lick
829.434484203,lick
829.567443868,lick
829.734843446,lick
830.034242693,lick
830.501001518,lick
831.067680091,lick
833.968552788,lick
842.002612561,lick
842.102892309,lick
842.236411973,lick
842.336371721,lick
842.43601147,lick
842.569291135,lick
842.703090798,lick
842.836450462,lick
842.969290128,lick
843.136169707,lick
843.269489372,lick
843.436128952,lick
843.670328363,lick
848.67215577,lick
848.837275354,lick
849.403953928,lick
852.137787045,lick
852.404106375,lick
858.03845219,lick
858.171571855,lick
861.772602789,lick
861.905442454,lick
867.472868438,lick
867.672947934,lick
870.840499959,lick
871.006779541,lick
877.641642837,lick
880.708595116,lick
880.84179478,lick
881.00863436,lick
884.475305633,lick
884.675385129,lick
886.842339674,lick
887.110059,lick
890.376410776,lick
890.543210356,lick
891.543047839,lick
891.710287418,lick
892.043446579,lick
896.677514913,lick
896.843754494,lick
904.145336112,lick
904.578575021,lick
904.711654686,lick
904.844934351,lick
904.978694014,lick
905.112013678,lick
905.278733258,lick
905.445372839,lick
905.711692168,lick
905.845651831,lick
906.012251412,lick
906.27901074,lick
906.611929902,lick
908.812604362,lick
908.945524027,lick
909.178923439,lick
911.312558068,lick
917.213343212,lick
917.380502791,lick
919.414017672,lick
919.614137168,lick
923.347687768,lick
923.481007433,lick
924.01440609,lick
924.214805585,lick
930.015230982,lick
930.182350561,lick
931.21586796,lick
939.149927985,lick
939.283607648,lick
939.78340639,lick
942.41707976,lick
942.584119339,lick
942.783718836,lick
945.617511702,lick
945.817831198,lick
949.784781211,lick
949.95186079,lick
953.451931978,lick
953.651971475,lick
955.852285935,lick
956.019525514,lick
956.219045012,lick
961.619791415,lick
961.786870994,lick
962.119910156,lick
962.221069901,lick
962.353589568,lick
962.487469231,lick
962.619948897,lick
962.786668477,lick
962.920388141,lick
963.08754772,lick
963.220067386,lick
963.520026631,lick
963.686746211,lick
963.887065707,lick
964.020185372,lick
964.220144869,lick
964.653543777,lick
966.087100168,lick
968.420774293,lick
968.587573873,lick
969.455811687,lick
969.654291188,lick
970.687768586,lick
976.221874653,lick
976.390234229,lick
976.955392806,lick
977.455391548,lick
985.123532243,lick
985.256731907,lick
989.290441752,lick
989.457401332,lick
995.358466475,lick
995.525066056,lick
998.058299678,lick
998.29177909,lick
1005.926719869,lick
1006.092839451,lick
1006.226239115,lick
1006.392918695,lick
1006.592958191,lick
1006.793117688,lick
1007.32831634,lick
1012.060384427,lick
1016.194294019,lick
1018.995206968,lick
1019.161806548,lick
1022.395238408,lick
1022.562037988,lick
1028.429623216,lick
1028.596102797,lick
1035.830444584,lick
1035.997644163,lick
1036.231043575,lick
1038.664197449,lick
1038.864516945,lick
1041.597870064,lick
1041.764669644,lick
1041.965949137,lick
1046.132018649,lick
1046.298618229,lick
1055.10023607,lick
1055.233595735,lick
1055.70007456,lick
1057.266870616,lick
1065.20137064,lick
1065.367970221,lick
1072.002833517,lick
1079.269975221,lick
1079.4373748,lick
1086.038158182,lick
1086.237717679,lick
1086.404877258,lick
1087.037835665,lick
1088.638391635,lick
1088.938190881,lick
1089.638509117,lick
1091.738343831,lick
1091.938503327,lick
1096.372412164,lick
1096.605851577,lick
1099.506444274,lick
1103.673913782,lick
1103.874153278,lick
1104.073672776,lick
1105.707228663,lick
1110.874655654,lick
1111.041375234,lick
1118.508916434,lick
1118.642396098,lick
1118.809555677,lick
1118.976075258,lick
1119.176074754,lick
1119.409074168,lick
1119.643153578,lick
1122.609946109,lick
1124.210782079,lick
1127.077334862,lick
1127.34413419,lick
1128.34545167,lick
1128.54377117,lick
1132.211001938,lick
1132.377641518,lick
1138.078387166,lick
1138.245226746,lick
1141.445578689,lick
1145.679928029,lick
1145.880087525,lick
1150.813595104,lick
1150.980994683,lick
1151.180314181,lick
1151.813872586,lick
1151.980512166,lick
1158.215536469,lick
1160.282131266,lick
1161.082489251,lick
1161.248808833,lick
1161.415128414,lick
1161.61520791,lick
1161.881887239,lick
1162.815484888,lick
1170.383465835,lick
1170.550185416,lick
1170.716864996,lick
1174.017216687,lick
1174.184456266,lick
1180.718359816,lick
1185.718907227,lick
1185.885426808,lick
1192.519690106,lick
1192.720169601,lick
1204.554739806,lick
1204.988378715,lick
1205.12137838,lick
1205.254938044,lick
1205.355217791,lick
1205.521457373,lick
1205.655257036,lick
1205.7886967,lick
1205.921536365,lick
1206.055896027,lick
1206.22173561,lick
1206.355055274,lick
1206.555454769,lick
1207.088413428,lick
1207.288732923,lick
1207.888491413,lick
1209.922166293,lick
1210.422565034,lick
1217.590346988,lick
1217.75658657,lick
1217.92338615,lick
1218.123465646,lick
1218.390664973,lick
1227.958400886,lick
1228.158160383,lick
1232.825428633,lick
1232.959148296,lick
1233.159307792,lick
1238.959613189,lick
1239.126652769,lick
1239.29301235,lick
1242.360524627,lick
1242.560244124,lick
1244.360679592,lick
1244.560479089,lick
1247.294472206,lick
1247.527551619,lick
1247.694471198,lick
1250.695063644,lick
1250.861383226,lick
1251.094782638,lick
1251.328022051,lick
1253.995135336,lick
1256.895888033,lick
1257.062967613,lick
1259.429121656,lick
1263.96355024,lick
1264.129909821,lick
1266.463543946,lick
1266.59694361,lick
1266.797063106,lick
1266.964062686,lick
1267.597541091,lick
1271.130852195,lick
1271.331211691,lick
1280.698948107,lick
1280.865667687,lick
1281.032787267,lick
1281.266746678,lick
1281.799105337,lick
1292.201159149,lick
1292.36787873,lick
1295.434431009,lick
1295.634990504,lick
1298.768262616,lick
1298.96922211,lick
1303.035491873,lick
1307.736240038,lick
1307.936239535,lick
1310.636592737,lick
1310.803352317,lick
1315.570660315,lick
1315.737659894,lick
1317.438535612,lick
1317.671535025,lick
1317.871094523,lick
1329.773024559,lick
1329.93934414,lick
1330.173183552,lick
1331.272980783,lick
1331.473340278,lick
1338.773921898,lick
1338.940601479,lick
1339.174040891,lick
1347.842339068,lick
1348.009018648,lick
1354.809561527,lick
1354.942921192,lick
1355.376320101,lick
1362.110983145,lick
1362.277542726,lick
1367.478089633,lick
1367.978208374,lick
1368.144847955,lick
1368.244807703,lick
1368.411607283,lick
1368.578566863,lick
1368.711926527,lick
1368.878806107,lick
1369.012125771,lick
1369.145725435,lick
1369.445164681,lick
1369.878883589,lick
1375.712988901,lick
1375.879428482,lick
1376.57938672,lick
1380.713376312,lick
1380.947015724,lick
1382.047812953,lick
1382.980330605,lick
1383.11365027,lick
1383.513729262,lick
1388.081477763,lick
1388.214437428,lick
1398.583011324,lick
1398.749770904,lick
1399.04929015,lick
1403.683318484,lick
1403.849918064,lick
1408.450786481,lick
1408.650625978,lick
1412.0180975,lick
1412.217896997,lick
1414.618250954,lick
1414.785410533,lick
1415.051569863,lick
1415.252049358,lick
1415.452128855,lick
1422.119792068,lick
1422.28595165,lick
1426.953779898,lick
1427.086659564,lick
1429.420453688,lick
1429.620333185,lick
1429.820412681,lick
1438.288751362,lick
1438.455390942,lick
1438.688350356,lick
1442.222381458,lick
1442.388861039,lick
1446.123051638,lick
1448.089686687,lick
1450.323401063,lick
1453.290433594,lick
1453.457513173,lick
1456.29082604,lick
1456.45762562,lick
1460.458535547,lick
1460.624775129,lick
1465.292203378,lick
1465.425563042,lick
1465.625522539,lick
1465.892321867,lick
1466.059441447,lick
1480.96120393,lick
1481.127723511,lick
1481.261563174,lick
1481.461162672,lick
1481.661202168,lick
1482.195040824,lick
1485.661752096,lick
1487.828786641,lick
1489.195903199,lick
1489.395622696,lick
1497.496762301,lick
1497.630241965,lick
1497.863601377,lick
1502.631269374,lick
1502.831268871,lick
1505.097903164,lick
1505.29794266,lick
1507.298617624,lick
1514.999678236,lick
1515.433037145,lick
1515.533276892,lick
1515.699356474,lick
1515.832756138,lick
1515.999435719,lick
1516.132795383,lick
1516.266235047,lick
1516.566274292,lick
1516.699553956,lick
1516.866393536,lick
1516.9996732,lick
1518.033070599,lick
1522.366979688,lick
1523.100457841,lick
1524.567334148,lick
1527.734406175,lick
1529.901400719,lick
1533.635711318,lick
1533.802390898,lick
1539.802815792,lick
1542.070250083,lick
1542.236569664,lick
1544.90364295,lick
1545.103602446,lick
1547.771075731,lick
1551.971345156,lick
1564.173434437,lick
1564.306394102,lick
1564.506433598,lick
1570.740657903,lick
1570.873937567,lick
1571.074257063,lick
1571.207776727,lick
1575.00800716,lick
1575.441486068,lick
1575.574685733,lick
1575.674685481,lick
1575.841405061,lick
1575.974724726,lick
1576.10808439,lick
1576.241404054,lick
1576.375203718,lick
1577.308801367,lick
1581.109191799,lick
1581.242591464,lick
1581.408911045,lick
1581.609230541,lick
1586.842937364,lick
1586.976297028,lick
1587.676895265,lick
1592.710442592,lick
1592.877202172,lick
1597.911269499,lick
1598.044909162,lick
1598.245748657,lick
1598.479068069,lick
1604.612612628,lick
1604.745532293,lick
1604.946011788,lick
1609.946679199,lick
1614.147388623,lick
1614.314068203,lick
1614.480667784,lick
1617.081101237,lick
1617.247660818,lick
1619.78101444,lick
1629.315710436,lick
1629.515709932,lick
1629.682469512,lick
1629.949148841,lick
1630.282468002,lick
1633.649699524,lick
1633.849739021,lick
1642.050918374,lick
1642.484317282,lick
1642.617556947,lick
1642.75135661,lick
1642.917676191,lick
1643.050995856,lick
1643.184755519,lick
1643.884873756,lick
1652.652371684,lick
1652.85241118,lick
1653.953368408,lick
1654.086288074,lick
1655.152765389,lick
1658.78659624,lick
1661.053670533,lick
1664.387462139,lick
1664.520661804,lick
1668.754731145,lick
1668.921450725,lick
1673.422399393,lick
1673.588758974,lick
1673.822198387,lick
1680.823100761,lick
1681.056420174,lick
1683.190094802,lick
1689.39139919,lick
1689.55815877,lick
1689.724398352,lick
1689.99111768,lick
1702.359486542,lick
1702.559566038,lick
1702.792925451,lick
1703.460083771,lick
1706.760475462,lick
1706.926915043,lick
1718.06192701,lick
1718.195526673,lick
1718.362246254,lick
1722.496155846,lick
1722.662515427,lick
1725.662907873,lick
1725.86290737,lick
1736.364440931,lick
1736.498120595,lick
1736.664480176,lick
1736.864999671,lick
1745.732457347,lick
1746.13249634,lick
1754.300835775,lick
1754.500555272,lick
1756.367270573,lick
1756.567350069,lick
1757.300988222,lick
1762.634854794,lick
1762.801574374,lick
1763.034933786,lick
1767.935681448,lick
1768.068961113,lick
1768.269000609,lick
1773.469987515,lick
1773.736906843,lick
1780.170850645,lick
1780.337450226,lick
1780.504089806,lick
1780.870848883,lick
1786.671674279,lick
1786.838393859,lick
1787.038393356,lick
1790.172185466,lick
1796.173010358,lick
1796.340169938,lick
1799.273442553,lick
1799.440402133,lick
1803.274112481,lick
1803.54075181,lick
1807.008503079,lick
1807.174582661,lick
1813.54220663,lick
1813.875685791,lick
1814.108925203,lick
1814.243444865,lick
1814.375684532,lick
1814.509684194,lick
1814.642763859,lick
1814.775723525,lick
1814.942883104,lick
1815.076202768,lick
1815.209162433,lick
1815.375802014,lick
1815.509801677,lick
1815.676201258,lick
1815.809240923,lick
1816.475999244,lick
1817.409836893,lick
1817.609876389,lick
1820.076590179,lick
1820.24318976,lick
1820.476509172,lick
1826.210654736,lick
1826.343974401,lick
1827.011172721,lick
1829.078047517,lick
1835.245311991,lick
1835.411951571,lick
1835.645790982,lick
1838.179024605,lick
1838.345704185,lick
1842.88005277,lick
1843.04677235,lick
1850.34743397,lick
1850.51411355,lick
1851.914750024,lick
1852.147669438,lick
1854.648023143,lick
1854.948142387,lick
1856.948577351,lick
1857.148816847,lick
1857.415176176,lick
1861.649085517,lick
1861.849445013,lick
1862.815922579,lick
1862.98268216,lick
1863.64988048,lick
1864.316118803,lick
1869.316866213,lick
1869.517305708,lick
1870.584063023,lick
1873.118136643,lick
1873.317416141,lick
1880.318358516,lick
1880.485118096,lick
1880.685117592,lick
1880.885157089,lick
1888.886736944,lick
1889.052976525,lick
1889.253016022,lick
1891.55377023,lick
1891.720089811,lick
1897.654274871,lick
1897.787554535,lick
1897.954634115,lick
1898.187993527,lick
1898.42139294,lick
1898.554352605,lick
1898.688472267,lick
1898.854751849,lick
1899.021551429,lick
1899.18775101,lick
1899.388150506,lick
1899.687829751,lick
1900.454707821,lick
1903.755099512,lick
1903.921859092,lick
1908.289088097,lick
1908.422687761,lick
1911.189520795,lick
1911.323480458,lick
1914.090233492,lick
1914.290072989,lick
1917.32414535,lick
1924.291767809,lick
1924.391847557,lick
1924.558127138,lick
1924.658966884,lick
1924.825206466,lick
1925.625644451,lick
1925.758844115,lick
1925.958323613,lick
1928.592116982,lick
1936.759856419,lick
1936.926616,lick
1937.160295411,lick
1937.293415076,lick
1937.426614741,lick
1937.560014405,lick
1937.693734068,lick
1937.827053733,lick
1937.993333314,lick
1938.160412893,lick
1938.726891467,lick
1938.96021088,lick
1939.060170628,lick
1939.260570124,lick
1939.460209621,lick
1940.360447355,lick
1940.593766767,lick
1940.794246263,lick
1940.994165759,lick
1946.561711743,lick
1946.694631408,lick
1949.196385109,lick
1952.662496383,lick
1955.562929081,lick
1955.729688661,lick
1959.463479261,lick
1959.663158759,lick
1966.09742256,lick
1966.26410214,lick
1966.530821469,lick
1970.364691817,lick
1980.599826049,lick
1980.76622563,lick
1980.999505043,lick
