start_tone,outcome,outcome_time
666.555854263,timeout_tone,673.55975663
687.328121967,lick,689.780915792
710.272424203,lick,712.217339306
731.933689669,lick,738.921232077
750.904961907,lick,753.190396153
773.629224697,lick,779.960408758
795.231530311,lick,795.79592889
817.780793542,lick,819.899868207
837.080064954,lick,842.002612561
858.578330831,lick,861.772602789
877.102564194,lick,877.641642837
897.359833195,lick,904.145336112
916.849064129,lick,917.213343212
937.069333223,lick,939.149927985
956.857603404,lick,961.619791415
975.173837292,lick,976.221874653
995.843105255,lick,998.058299678
1014.002339538,lick,1016.194294019
1036.162603747,lick,1036.231043575
1055.91087403,lick,1057.266870616
1078.727176588,lick,1079.269975221
1098.564406646,lick,1099.506444274
1120.036712587,lick,1122.609946109
1139.106944577,lick,1141.445578689
1161.015209421,lick,1161.082489251
1179.752482248,lick,1180.718359816
1201.199748253,lick,1204.554739806
1220.454979776,timeout_tone,1227.458882143
1239.354212196,lick,1242.360524627
1261.27051702,lick,1263.96355024
1282.075784641,timeout_tone,1289.079687008
1302.178054032,lick,1303.035491873
1321.434285552,timeout_tone,1328.43818792
1340.757556904,timeout_tone,1347.761419272
1363.609819372,lick,1367.478089633
1385.468124342,lick,1388.081477763
1405.685393443,lick,1408.450786481
1427.926657449,lick,1429.420453688
1448.030926835,lick,1448.089686687
1470.394190534,timeout_tone,1477.398092901
1489.869461503,timeout_tone,1496.87336387
1510.844728696,lick,1514.999678236
1529.474961793,lick,1529.901400719
1549.914230335,lick,1551.971345156
1571.525495927,lick,1575.00800716
1592.363763465,lick,1592.710442592
1613.897069253,lick,1614.147388623
1635.659334465,lick,1642.050918374
1658.164637806,lick,1658.78659624
1680.383901867,lick,1680.823100761
1701.948207577,lick,1702.359486542
1724.182471601,lick,1725.662907873
1746.147776301,timeout_tone,1753.151678668
1767.107043534,lick,1767.935681448
1787.193312966,lick,1790.172185466
1807.267542427,lick,1813.54220663
1828.478849026,lick,1829.078047517
1849.94211499,lick,1850.34743397
1872.704417684,lick,1873.118136643
1891.729649787,lick,1897.654274871
1909.893884057,lick,1911.189520795
1932.497187151,lick,1936.759856419
1952.146457682,lick,1952.662496383
1972.528686368,timeout_tone,1979.532588736
1993.348953952,lick,1995.968747356
2014.097221716,timeout_tone,2021.101124083
2035.985526611,timeout_tone,2042.989428978
2054.640759645,timeout_tone,2061.644662012
2076.576064421,lick,2078.613579291
2099.353327077,lick,2101.917000623
2120.34059424,lick,2126.553778598
2143.20389668,lick,2143.656215541
2164.977201863,lick,2165.059721656
2184.535432624,lick,2185.095631214
2204.586702143,lick,2205.798539092
2225.513969457,lick,2226.202007725
2247.78827338,lick,2250.905585532
2269.92053766,lick,2271.941372572
2290.821845039,lick,2292.844239948
2311.50011298,lick,2311.613672694
2329.693347177,lick,2332.216660824
2350.80761402,lick,2354.020405932
2370.170845272,timeout_tone,2377.174747639
2390.322114539,lick,2390.325154531
2410.486383774,timeout_tone,2417.490286141
2432.54864823,lick,2436.464998371
2454.911951929,lick,2458.43482306
2474.941221503,lick,2479.171090854
2492.956456149,lick,2496.073568301
2511.444689603,lick,2515.409679621
2529.647923775,lick,2535.412989261
2550.164192123,lick,2550.648190905
2570.850460044,lick,2572.251096518
2588.921694548,lick,2592.520925487
2610.898959219,lick,2613.657472274
2632.424265027,lick,2637.360812599
2653.69753147,lick,2656.830323583
2675.681836122,lick,2677.500031545
2694.154069617,lick,2694.568708573
2716.920372301,timeout_tone,2723.924234668
2736.298603515,lick,2738.308838454
2756.490872679,lick,2760.178143396
2777.41114001,timeout_tone,2784.415042378
2795.776373774,lick,2796.984010734
2815.369644447,lick,2815.919443063
2834.136877199,lick,2837.422948926
2853.499148453,lick,2853.992027212
2871.675382692,lick,2873.92845702
2891.347613166,lick,2894.931324144
2912.064881009,lick,2916.0004711
2930.246115236,lick,2930.936273498
2948.635388939,lick,2951.93974062
2968.438619083,lick,2973.40876657
2987.459891195,lick,2988.4113288
3005.62212547,lick,3007.380241044
3024.389358222,timeout_tone,3031.393260589
3043.753589471,lick,3048.720256967
3065.305895212,lick,3066.655771813
3085.589164147,lick,3090.058792894
3103.806398283,lick,3107.894747991
3125.666663248,lick,3127.030859814
3144.89493484,lick,3151.568198039
3165.16420381,lick,3167.469958005
3183.267438234,lick,3183.272598221
3205.779701557,lick,3208.709174182
3224.240975079,lick,3230.546079206
3242.984207892,lick,3245.414401774
3264.325474163,lick,3270.584978405
