start_time,outcome_time,outcome
666.555854263,673.55975663,timeout_tone
687.328121967,689.780915792,lick
710.272424203,712.217339306,lick
731.933689669,738.921232077,lick
750.904961907,753.190396153,lick
773.629224697,779.960408758,lick
795.231530311,795.79592889,lick
817.780793542,819.899868207,lick
837.080064954,842.002612561,lick
858.578330831,861.772602789,lick
877.102564194,877.641642837,lick
897.359833195,904.145336112,lick
916.849064129,917.213343212,lick
937.069333223,939.149927985,lick
956.857603404,961.619791415,lick
975.173837292,976.221874653,lick
995.843105255,998.058299678,lick
1014.002339538,1016.194294019,lick
1036.162603747,1036.231043575,lick
1055.91087403,1057.266870616,lick
1078.727176588,1079.269975221,lick
1098.564406646,1099.506444274,lick
1120.036712587,1122.609946109,lick
1139.106944577,1141.445578689,lick
1161.015209421,1161.082489251,lick
1179.752482248,1180.718359816,lick
1201.199748253,1204.554739806,lick
1220.454979776,1227.458882143,timeout_tone
1239.354212196,1242.360524627,lick
1261.27051702,1263.96355024,lick
1282.075784641,1289.079687008,timeout_tone
1302.178054032,1303.035491873,lick
1321.434285552,1328.43818792,timeout_tone
1340.757556904,1347.761419272,timeout_tone
1363.609819372,1367.478089633,lick
1385.468124342,1388.081477763,lick
1405.685393443,1408.450786481,lick
1427.926657449,1429.420453688,lick
1448.030926835,1448.089686687,lick
1470.394190534,1477.398092901,timeout_tone
1489.869461503,1496.87336387,timeout_tone
1510.844728696,1514.999678236,lick
1529.474961793,1529.901400719,lick
1549.914230335,1551.971345156,lick
1571.525495927,1575.00800716,lick
1592.363763465,1592.710442592,lick
1613.897069253,1614.147388623,lick
1635.659334465,1642.050918374,lick
1658.164637806,1658.78659624,lick
1680.383901867,1680.823100761,lick
1701.948207577,1702.359486542,lick
1724.182471601,1725.662907873,lick
1746.147776301,1753.151678668,timeout_tone
1767.107043534,1767.935681448,lick
1787.193312966,1790.172185466,lick
1807.267542427,1813.54220663,lick
1828.478849026,1829.078047517,lick
1849.94211499,1850.34743397,lick
1872.704417684,1873.118136643,lick
1891.729649787,1897.654274871,lick
1909.893884057,1911.189520795,lick
1932.497187151,1936.759856419,lick
1952.146457682,1952.662496383,lick
1972.528686368,1979.532588736,timeout_tone
1993.348953952,1995.968747356,lick
2014.097221716,2021.101124083,timeout_tone
2035.985526611,2042.989428978,timeout_tone
2054.640759645,2061.644662012,timeout_tone
2076.576064421,2078.613579291,lick
2099.353327077,2101.917000623,lick
2120.34059424,2126.553778598,lick
2143.20389668,2143.656215541,lick
2164.977201863,2165.059721656,lick
2184.535432624,2185.095631214,lick
2204.586702143,2205.798539092,lick
2225.513969457,2226.202007725,lick
2247.78827338,2250.905585532,lick
2269.92053766,2271.941372572,lick
2290.821845039,2292.844239948,lick
2311.50011298,2311.613672694,lick
2329.693347177,2332.216660824,lick
2350.80761402,2354.020405932,lick
2370.170845272,2377.174747639,timeout_tone
2390.322114539,2390.325154531,lick
2410.486383774,2417.490286141,timeout_tone
2432.54864823,2436.464998371,lick
2454.911951929,2458.43482306,lick
2474.941221503,2479.171090854,lick
2492.956456149,2496.073568301,lick
2511.444689603,2515.409679621,lick
2529.647923775,2535.412989261,lick
2550.164192123,2550.648190905,lick
2570.850460044,2572.251096518,lick
2588.921694548,2592.520925487,lick
2610.898959219,2613.657472274,lick
2632.424265027,2637.360812599,lick
2653.69753147,2656.830323583,lick
2675.681836122,2677.500031545,lick
2694.154069617,2694.568708573,lick
2716.920372301,2723.924234668,timeout_tone
2736.298603515,2738.308838454,lick
2756.490872679,2760.178143396,lick
2777.41114001,2784.415042378,timeout_tone
2795.776373774,2796.984010734,lick
2815.369644447,2815.919443063,lick
2834.136877199,2837.422948926,lick
2853.499148453,2853.992027212,lick
2871.675382692,2873.92845702,lick
2891.347613166,2894.931324144,lick
2912.064881009,2916.0004711,lick
2930.246115236,2930.936273498,lick
2948.635388939,2951.93974062,lick
2968.438619083,2973.40876657,lick
2987.459891195,2988.4113288,lick
3005.62212547,3007.380241044,lick
3024.389358222,3031.393260589,timeout_tone
3043.753589471,3048.720256967,lick
3065.305895212,3066.655771813,lick
3085.589164147,3090.058792894,lick
3103.806398283,3107.894747991,lick
3125.666663248,3127.030859814,lick
3144.89493484,3151.568198039,lick
3165.16420381,3167.469958005,lick
3183.267438234,3183.272598221,lick
3205.779701557,3208.709174182,lick
3224.240975079,3230.546079206,lick
3242.984207892,3245.414401774,lick
3264.325474163,3270.584978405,lick
