base_event,edge_on,edge_off,duration
chrimson_100,16.717690284,16.817690032,0.09999974800000189
chrimson_300,19.717722731,19.81772248,0.09999974900000197
chrimson_500,22.717755179,22.817754927,0.09999974799999833
chrimson_700,25.717787626,25.817787374,0.09999974800000189
chrimson_1000,28.717780073,28.817779821,0.09999974799999833
chr2_100,31.71781252,31.817812268,0.09999974800000189
chr2_300,34.717844967,34.817844716,0.09999974900000552
chr2_500,37.717837415,37.817837163,0.09999974800000189
chr2_700,40.717869862,40.81786961,0.09999974800000189
chr2_1000,43.717902309,43.817902057,0.09999974799999478
chrimson_100,46.717894756,46.817894504,0.09999974800000189
chrimson_300,49.717927203,49.817926952,0.09999974899999842
chrimson_500,52.717959651,52.817959399,0.09999974800000189
chrimson_700,55.717992098,55.817951846,0.0999597479999963
chrimson_1000,58.717984545,58.817984293,0.09999974800000189
chr2_100,61.718016992,61.81801674,0.09999974799999478
chr2_300,64.718009439,64.818009188,0.09999974900000552
chr2_500,67.718041887,67.818041635,0.09999974800000189
chr2_700,70.718074334,70.818074082,0.09999974800000189
chr2_1000,73.718106781,73.818106529,0.09999974800000189
chrimson_100,76.718099228,76.818098976,0.09999974800000189
chrimson_300,79.718131675,79.818131424,0.09999974900000552
chrimson_500,82.718164123,82.818163871,0.09999974800000189
chrimson_700,85.71815657,85.818156318,0.09999974800000189
chrimson_1000,88.718189017,88.818188765,0.09999974800000189
chr2_100,91.718221464,91.818221212,0.09999974800000189
chr2_300,94.718213911,94.81821366,0.09999974899999131
chr2_500,97.718246359,97.818246107,0.09999974799998768
chr2_700,100.718278806,100.818278554,0.09999974800000189
chr2_1000,103.718271253,103.818311001,0.10003974800000037
chrimson_100,106.7183037,106.818303448,0.09999974799998768
chrimson_300,109.718336147,109.818335896,0.09999974899999131
chrimson_500,112.718368595,112.818368343,0.09999974800000189
chrimson_700,115.718361042,115.81836079,0.09999974800000189
chrimson_1000,118.718393489,118.818393237,0.09999974800000189
chr2_100,121.718425936,121.818425684,0.09999974800000189
chr2_300,124.718418383,124.818418132,0.09999974900000552
chr2_500,127.718450831,127.818450579,0.09999974800000189
chr2_700,130.718483278,130.818483026,0.09999974799998768
chr2_1000,133.718475725,133.818475473,0.0999997480000161
chrimson_100,136.718508172,136.81850792,0.09999974799998768
chrimson_300,139.718540619,139.818540368,0.0999997489999771
chrimson_500,142.718573067,142.818572815,0.0999997480000161
chrimson_700,145.718565514,145.818565262,0.09999974799998768
chrimson_1000,148.718597961,148.818597709,0.09999974799998768
chr2_100,151.718630408,151.818630156,0.0999997480000161
chr2_300,154.718622855,154.818622604,0.09999974900000552
chr2_500,157.718655303,157.818655051,0.0999997480000161
chr2_700,160.71868775,160.818687498,0.0999997480000161
chr2_1000,163.718680197,163.818679945,0.0999997480000161
chrimson_100,166.718712644,166.818712392,0.0999997480000161
chrimson_300,169.718745091,169.81874484,0.09999974900000552
chrimson_500,172.718777539,172.818777287,0.09999974799998768
chrimson_700,175.718769986,175.818769734,0.09999974799998768
chrimson_1000,178.718802433,178.818802181,0.09999974799998768
chr2_100,181.71883488,181.818834628,0.09999974799998768
chr2_300,184.718827327,184.818827076,0.0999997489999771
chr2_500,187.718859775,187.818859523,0.09999974799998768
chr2_700,190.718892222,190.81889197,0.0999997480000161
chr2_1000,193.718884669,193.818884417,0.09999974799998768
chrimson_100,196.718917116,196.818916864,0.09999974799998768
chrimson_300,199.718949563,199.818949312,0.09999974900000552
chrimson_500,202.718982011,202.818981759,0.09999974799998768
chrimson_700,205.718974458,205.818974206,0.0999997480000161
chrimson_1000,208.719006905,208.819006653,0.0999997480000161
chr2_100,211.718999352,211.8190391,0.10003974800000037
chr2_300,214.719031799,214.819031548,0.09999974900000552
chr2_500,217.719064247,217.819063995,0.09999974799998768
chr2_700,220.719096694,220.819096442,0.09999974799998768
chr2_1000,223.719089141,223.819088889,0.09999974799998768
chrimson_100,226.719121588,226.819121336,0.09999974799998768
chrimson_300,229.719154035,229.819153784,0.09999974900000552
chrimson_500,232.719186483,232.819186231,0.0999997480000161
chrimson_700,235.71917893,235.819178678,0.09999974799998768
chrimson_1000,238.719211377,238.819211125,0.0999997480000161
chr2_100,241.719203824,241.819203573,0.09999974900000552
